bin: 0,530363.298860,614552.605703,1375988.992088
bin: 1,1495998.204802,878252.277967,1845784.689216
bin: 2,1896094.046265,1506591.337100,2198204.799414
bin: 3,3487206.311843,2602557.012265,1678943.944259
bin: 4,2355879.096285,2751410.097675,3348737.525953
bin: 5,2463812.750231,5057103.122761,2947171.942923
bin: 6,3239316.041556,3456022.118542,4651471.858595
bin: 7,3682732.587580,5156466.531309,3097233.783077
bin: 8,4652244.708072,4974574.397524,5741626.794258
bin: 9,5134260.923140,3641594.289980,4997501.249375
bin: 10,5007283.321194,3050133.096717,7558578.987150
bin: 11,5450828.980241,6089824.917534,5588023.004028
bin: 12,7645709.580662,6987368.986831,7850715.622924
bin: 13,7706280.618704,5543127.511730,6767208.043310
bin: 14,9467306.235799,8309788.931361,6760411.032991
bin: 15,8427262.193195,8889135.809328,6240127.922622
bin: 16,7360741.269944,10302405.914793,8795757.340577
bin: 17,9691226.747786,6988527.167899,6734636.610233
bin: 18,9928929.765886,10895744.924877,8552779.653387
bin: 19,10941517.588490,10224164.813537,8465966.813410
bin: 20,9408602.150538,8223362.180366,12097122.612978
bin: 21,10325002.933239,9760425.909494,10885969.469804
bin: 22,12946076.775864,10820219.697504,12066839.799586
bin: 23,12612991.381123,12975427.783635,8437038.599452
bin: 24,11184181.094260,12673307.479786,13972334.777141
bin: 25,10744467.632291,10749131.800893,18122887.115324
bin: 26,11928956.437218,13426823.810234,9995742.554097
bin: 27,13247539.742619,15327348.368732,12888674.077654
bin: 28,13047488.358491,16118722.730178,14814058.030241
bin: 29,14312635.671859,24374390.640234,11331230.760514
bin: 30,16499015.381340,18377449.091502,17104391.966453
bin: 31,10886575.491597,16945562.380852,17162317.985573
bin: 32,14442645.192350,12686940.140710,14805841.577495
bin: 33,16516078.888565,12444639.654478,15618898.867630
bin: 34,16879672.052086,18879628.880438,16856502.998049
bin: 35,19013415.020598,17602190.494817,19280721.955922
bin: 36,18619631.130010,14054279.908077,18979225.442421
bin: 37,15918230.563003,16923864.876300,12826138.319776
bin: 38,19013260.530421,18591347.872721,19381289.601193
