bin: 0,22.071358,22.056232,21.901221,21.835005,21.836653
bin: 1,23.840471,23.894472,23.858651,23.826208,23.851804
bin: 2,24.077964,24.487072,24.642492,24.233964,24.184645
bin: 3,25.388353,25.957108,25.361505,25.370146,25.366819
bin: 4,25.385034,25.401451,25.458925,25.439691,25.446672
bin: 5,26.375363,26.420363,26.288579,26.362937,26.366285
bin: 6,26.187878,26.956267,26.323325,26.324699,26.163703
bin: 7,28.263634,28.079206,28.059354,28.186721,28.680657
bin: 8,28.479441,27.862514,27.817506,27.851955,27.825492
bin: 9,28.000446,28.005703,28.067685,28.144131,27.835671
bin: 10,29.723741,29.764438,29.786721,29.534306,29.656983
bin: 11,30.449918,30.277940,30.378359,30.286922,30.403435
bin: 12,28.721019,28.737379,28.590675,28.656870,28.762627
bin: 13,29.470386,29.507297,29.506580,29.446996,29.304412
bin: 14,29.749039,29.637874,29.793046,29.802838,29.797456
bin: 15,29.493869,29.419616,29.361179,29.395107,29.567412
bin: 16,31.765890,31.731476,31.801894,32.898197,32.789048
bin: 17,33.256189,33.148669,33.047842,33.129496,33.092280
bin: 18,32.980003,33.213417,33.218584,33.030378,33.220591
bin: 19,31.748784,31.675736,31.795770,31.675422,31.568895
bin: 20,31.978499,32.764764,33.102465,32.174949,32.188601
bin: 21,31.706597,31.574398,31.626690,31.627978,31.619309
bin: 22,32.479546,32.475362,32.471734,32.462018,32.343298
bin: 23,30.933793,31.004841,30.992597,31.038406,30.892101
bin: 24,33.048854,33.007630,33.029998,32.973210,32.946150
bin: 25,33.011930,32.865014,32.966430,33.016306,32.950738
bin: 26,31.831674,31.835630,31.855806,31.600202,31.753534
bin: 27,31.709202,31.938566,31.953286,31.896378,31.864230
bin: 28,32.417602,32.564582,32.638322,32.684274,32.513850
bin: 29,32.143878,32.188898,32.075214,32.054878,32.115638
bin: 30,30.488409,30.838205,30.795113,30.816337,30.891513
bin: 0,21.961885,21.959212,21.920808,22.045727,22.016397
bin: 1,23.976291,24.039247,24.045787,24.003109,24.063522
bin: 2,24.332252,24.318570,24.341508,24.318225,24.246494
